utility_name,2018,2019,2020,2021,2022,2023
Connecticut Light & Power Co,148.34282214974837,146.633627927536,155.296958733516,151.62992905876862,182.80672360268605,204.2686245763117
Hawaiian Electric Co Inc,153.83834460463606,155.37257435024324,152.30171977835732,162.6762448821542,208.5025774624335,201.30155206680132
Tampa Electric Co,132.19526102387118,126.97613297131238,121.39507535972535,135.0536600512198,157.68404105353684,191.95184500695512
Imperial Irrigation District,137.02897187725563,129.96288132893835,148.59724452364242,167.11135586740326,182.88498042168143,189.40250682072022
Duke Energy Florida,141.7329257824709,145.23083107914644,145.48192101022914,144.97554429418363,161.57571833790735,186.55646211155226
Massachusetts Electric Co,134.02754760030118,129.98247737612354,137.39491241411326,138.7963361900785,155.88832864730065,177.36900202198646
Alabama Power Co,156.47808655588025,159.64343437241524,153.4707305431375,157.00155804889746,180.86581761038332,173.7765013280592
Florida Power & Light Co,122.18933740593837,124.82525433770738,122.9521530980874,126.18780919285119,153.334662240338,170.11230595487297
Rappahannock Electric Coop,164.14079824267992,166.0004495462938,149.65616913173974,146.18525108914005,165.50002135836,169.52814491760898
United Illuminating Co,143.9737047091604,135.20716539221914,145.20319333687542,140.32370906897077,130.54706919391182,167.19081125905183
Entergy Texas Inc.,132.8678812209734,125.83079930556329,125.02773448922132,143.46311748746027,172.20949250252644,167.1164538687902
San Diego Gas & Electric Co,103.5768080939345,98.91598631746449,107.06461509329938,112.23000099036841,154.01085109557877,166.61160169882768
Appalachian Power Co,137.6654803589171,132.40495151671405,132.54263477544643,143.37646645580747,162.61470828953506,166.0420175908432
Pacific Gas & Electric Co.,108.07175869756082,118.92850451952357,138.10966331151698,150.35672577535513,169.09082037350268,165.64492098096258
Public Service Co of NH,117.30047691838995,116.42878134198821,114.96675374289444,121.34326218621656,160.27546116834722,164.73366080086873
Ohio Power Co,118.99309723227435,112.09737752210845,114.67054251570633,121.08087095635808,147.13081131279765,162.57257048172684
Entergy Mississippi LLC,128.1173520063542,124.42907309736113,114.92873322863291,125.78291348252024,141.56672253019664,162.27177635239178
Empire District Electric Co,161.33724667042458,145.89207898906602,138.20633192796132,141.92212338121644,170.78422933795787,162.0149589335332
Long Island Power Authority,162.51798703035152,151.79495187778767,165.7123635261113,171.19756568341305,192.22606476601754,160.73783661535586
Mississippi Power Co,148.24984158573886,149.5297433303971,141.1347716114152,149.13932592712715,159.24200402503317,160.67496452404833
Central Hudson Gas & Elec Corp,128.25456303936247,111.62674603334862,123.0734493721812,131.0462679919209,167.51610573510774,159.78159650328772
PPL Electric Utilities Corp,122.53238786605937,119.18917492271231,118.64176266351558,123.41829161625517,156.73967815230776,158.8688049726154
Kentucky Power Co,161.1804117883585,153.22483797169215,147.04966717450583,175.48547021000851,198.55333596836647,158.3113120834804
Sunrun Inc.,NA,NA,118.40727217367343,140.83293176496727,147.72002666631371,157.04889185896454
Cleco Power LLC,153.10422016123474,145.858200101032,135.3116675354062,152.43605194611425,186.5134601869664,155.6400774409553
Berkeley Electric Coop Inc,NA,NA,NA,165.10088815828126,159.5296870401081,155.480039518893
Arizona Public Service Co,141.31543498444253,133.09495177660915,141.56740154674054,135.4609371773431,141.79187176778356,155.40748590973527
Central Maine Power Co,94.23064915115506,98.459293835299,94.41415107602384,98.3135442323065,132.7310144975836,155.28303554195563
Versant Power,NA,98.6482750378922,89.23445191435619,93.87419452727555,125.73819127355898,154.78824413944795
Southern Maryland Elec Coop Inc,156.0701968363223,149.42876942669304,132.97932952668737,145.05728103861657,181.72709013527162,154.27594053890957
Nevada Power Co,124.17848906331913,113.79211537239546,118.49679787776478,115.65045684102442,136.69319717652363,153.35156139752021
Metropolitan Edison Co,121.62389484381072,115.88754103655272,113.88062161576259,120.467267812038,138.59285030751684,153.24792713530877
Duke Energy Progress - (NC),143.70477746414986,144.5994407911013,134.0667309472111,135.11833247196887,142.69626368771077,152.54981778160715
The Narragansett Electric Co,120.10198494692017,121.14426455201493,130.18849385498564,129.6127177557533,135.40645724041457,151.79363758106166
Delaware Electric Cooperative,NA,NA,NA,NA,153.47508663996723,151.7191882972116
Delmarva Power,133.4819187596719,126.93903087755871,125.73440100878325,133.33112779672214,140.88003115911846,150.98002509093175
Pennsylvania Power Co,126.36796797790895,118.07864862203421,120.43448515559956,122.87268449193482,141.78521121782032,150.65839612894422
Salt River Project,136.67224626307512,132.9759226545926,144.53302468635545,135.77082317669505,142.49803275603514,148.69355656793542
Orange & Rockland Utils Inc,130.68013042786004,119.63722497843797,119.92558694797293,131.21538440632222,158.81926944187794,147.88198575475678
Southern Indiana Gas & Elec Co,142.4461665975005,140.3327954363337,139.46604720646505,145.53978898488646,151.55662154799452,146.88857192138087
Modesto Irrigation District,NA,117.55146875343108,167.87869843569572,151.9899169772465,145.0258793525274,146.64762506451396
Virginia Electric & Power Co,145.68634178327403,142.9028717919896,141.66801152355734,136.9762390825751,145.72676320088274,146.4813511614765
Southwestern Public Service Co,102.4432151319823,99.1306975117459,99.59012305626402,113.25768799601042,134.3444189647759,141.86650210056888
"Dominion Energy South Carolina, Inc",151.08997795064687,154.50300017653703,144.6718853156091,152.778668382399,171.2677864306803,141.75295508364036
NSTAR Electric Company,124.98015963157822,115.80749850493194,119.14691305292268,128.69108562866202,137.25863059910233,141.57580617101164
Public Service Co of Oklahoma,116.80274304658218,110.60984157666464,99.86804959087624,111.25001193032207,138.35160586697543,141.55972329278154
Georgia Power Co,124.55900688767775,122.29650611574706,126.05946062247804,132.57381832291296,156.70463957676736,140.95402498758148
Dayton Power & Light Co,106.60069726651263,100.08401506124915,89.58281656434792,86.90430158966964,120.73510494999293,139.85432949180202
Ameren Illinois Company,93.80264491700223,87.8560005667688,88.10218581302122,103.21751439533696,142.27596460463963,138.46376356219633
Entergy Louisiana LLC,110.300521119144,111.91299830027512,110.80730132370725,129.37215829156855,155.88711902344872,137.83992263319334
"Entergy New Orleans, LLC",116.73697421690085,108.31469361475902,105.44950835584585,116.95952538786152,145.9287000609506,137.55716975866588
Entergy Arkansas LLC,112.24777726906791,110.5254713379163,116.67136105397395,121.56863698125686,130.94366501751415,137.223900887035
