date,Florida Power & Light Co,Duke Energy Florida,Florida Public Utilities Co,Tampa Electric Co,,,,,,
1/1/18,0.114873881,0.131000653,0.146001734,0.113043817,,,,,,
2/1/18,0.114202692,0.130635574,0.146715358,0.113697288,,,,,,
3/1/18,0.107067885,0.130411948,0.148801523,0.114101306,,,,,,
4/1/18,0.105184576,0.130591434,0.148040033,0.114197222,,,,,,
5/1/18,0.106805403,0.130758433,0.148496435,0.109700949,,,,,,
6/1/18,0.106237642,0.131137,0.145679363,0.112192126,,,,,,
7/1/18,0.106899891,0.131555895,0.145349015,0.11164539,,,,,,
8/1/18,0.10483568,0.131420094,0.145411204,0.111654681,,,,,,
9/1/18,0.107301143,0.131499831,0.145451182,0.113697105,,,,,,
10/1/18,0.109621602,0.13153364,0.116597353,0.113126925,,,,,,
11/1/18,0.111381925,0.130815737,0.146017699,0.11423209,,,,,,
12/1/18,0.108908,0.134713633,0.147900019,0.115800139,,,,,,
1/1/19,0.112108591,0.135974377,0.154449936,0.107041522,,,,,,
2/1/19,0.109400674,0.135778664,0.147120905,0.106833361,,,,,,
3/1/19,0.109060769,0.135706653,0.147261046,0.104933718,,,,,,
4/1/19,0.107996733,0.136066529,0.149612832,0.11184631,,,,,,
5/1/19,0.10640899,0.135991644,0.136506531,0.110007352,,,,,,
6/1/19,0.110220843,0.136647112,0.149023444,0.109255919,,,,,,
7/1/19,0.109986431,0.136905622,0.148254454,0.107626666,,,,,,
8/1/19,0.109962839,0.136440288,0.148166425,0.109143906,,,,,,
9/1/19,0.112709436,0.136705103,0.148331871,0.109573342,,,,,,
10/1/19,0.109832408,0.136260413,0.148612258,0.109368944,,,,,,
11/1/19,0.116724047,0.135887286,0.149789424,0.10988773,,,,,,
12/1/19,0.109495047,0.135689201,0.150190201,0.11191381,,,,,,
1/1/20,0.107277411,0.131637336,0.152840338,0.109556176,,,,,,
2/1/20,0.106713863,0.131325507,0.152979211,0.107660185,,,,,,
3/1/20,0.102606642,0.136744792,0.154424756,0.109791086,,,,,,
4/1/20,0.106716611,0.136141248,0.154556384,0.108627309,,,,,,
5/1/20,0.082154499,0.111410419,0.162227246,0.108523244,,,,,,
6/1/20,0.10426425,0.137729885,0.151013794,0.088020748,,,,,,
7/1/20,0.106902488,0.138628632,0.149298826,0.088343605,,,,,,
8/1/20,0.105765566,0.138391943,0.149375832,0.088355706,,,,,,
9/1/20,0.10915085,0.138319311,0.149691754,0.103114801,,,,,,
10/1/20,0.105747253,0.137887506,0.152043868,0.103188425,,,,,,
11/1/20,0.109469455,0.137706706,0.148663822,0.10370689,,,,,,
12/1/20,0.107867617,0.137524112,0.148632479,0.104838831,,,,,,
1/1/21,0.111194364,0.134480251,0.155989145,0.112302171,,,,,,
2/1/21,0.109513613,0.134334726,0.12928681,0.112962393,,,,,,
3/1/21,0.10687229,0.13446646,0.141491396,0.113503762,,,,,,
4/1/21,0.107998175,0.135286377,0.142574659,0.112669706,,,,,,
5/1/21,0.111344959,0.135041882,0.141899601,0.111540294,,,,,,
6/1/21,0.112754071,0.135226561,0.140048397,0.111180037,,,,,,
7/1/21,0.111970422,0.135293691,0.13932563,0.111095669,,,,,,
8/1/21,0.113003423,0.13594944,0.139353226,0.110958839,,,,,,
9/1/21,0.117102363,0.140467225,0.139525224,0.123949947,,,,,,
10/1/21,0.112786408,0.140047293,0.140611844,0.124272463,,,,,,
11/1/21,0.119697795,0.138889061,0.142641205,0.12558566,,,,,,
12/1/21,0.112452669,0.142625456,0.14230586,0.126846692,,,,,,
1/1/22,0.134033507,0.157094784,0.13973747,0.130948136,,,,,,
2/1/22,0.138790691,0.156729087,0.13947435,0.128664094,,,,,,
3/1/22,0.130500692,0.157585632,0.141440211,0.129501526,,,,,,
4/1/22,0.133135504,0.151631879,0.14177292,0.140370344,,,,,,
5/1/22,0.129467466,0.154312596,0.14087813,0.138517108,,,,,,
6/1/22,0.13323374,0.153347452,0.138763856,0.137030341,,,,,,
7/1/22,0.133408113,0.153067549,0.138802918,0.136432039,,,,,,
8/1/22,0.13374834,0.153038644,0.154129958,0.136041734,,,,,,
9/1/22,0.140458217,0.153052343,0.154384094,0.137688934,,,,,,
10/1/22,0.136813699,0.154204812,0.156303583,0.138926866,,,,,,
11/1/22,0.134444713,0.154908235,0.158176656,0.140269058,,,,,,
12/1/22,0.138023318,0.166466319,0.156808739,0.14309484,,,,,,
1/1/23,0.143673134,0.185086967,0.186492496,0.156671341,,,,,,
2/1/23,0.1588566,0.186745768,0.188538765,0.157506753,,,,,,
3/1/23,0.140291783,0.174751578,0.189119171,0.156550367,,,,,,
4/1/23,0.157958733,0.180328682,0.188125417,0.169813811,,,,,,
5/1/23,0.146721202,0.180311431,0.189032749,0.168695645,,,,,,
6/1/23,0.150339918,0.179050583,0.186319492,0.167947818,,,,,,
7/1/23,0.147497464,0.178669962,0.185620953,0.166689438,,,,,,
8/1/23,0.146448731,0.178570521,0.185499283,0.166179874,,,,,,
9/1/23,0.156047936,0.17808334,0.185822814,0.167026296,,,,,,
10/1/23,0.152925317,0.179430882,0.18770703,0.167643488,,,,,,
11/1/23,0.152803302,0.179724708,0.189343785,0.170761491,,,,,,
12/1/23,0.150053766,0.191065238,0.188158508,0.173090832,,,,,,
